filename,wall_thickness,color,infill_percent,platform_adhesion,support_type,obsolete
arduino_mega_mount.stl,,,,,,0
arduino_mega_mount_bottom.stl,,,,,,0
arduino_mega_mount_top.stl,,,,,,0
balancer_bottom_plate.stl,,,,,,0
balancer_drive_gear.stl,,,,,,0
balancer_gear_axle_top.stl,,,,,,0
balancer_gear_washer.stl,,,,,,0
balancer_middle_plate.stl,,,,,,0
balancer_opposite_gear.stl,,,,,,0
balancer_top_plate.stl,,,,,,0
balancer_translation_gear.stl,,,,,,0
balancer_weight_container.stl,,,,,,0
balancer_weight_container_door.stl,,,,,,0
battery_holder_strut.stl,,,,,,0
dc_converter_tray.stl,,,,,,0
foot_pivot.stl,,,,,,0
leg_hip_axle.stl,,,,,,0
leg_hip_axle_round.stl,,,,,,0
leg_hip_gear_main.stl,,,,,,0
leg_hip_gear_main_34.stl,,,,,,0
leg_hip_holder.stl,,,,,,0
leg_hip_spacer.stl,,,,,,0
leg_knee_servo_riser.stl,,,,,,0
leg_knee_servo_spindle.stl,,,,,,0
leg_knee_servo_spindle_mirrored.stl,,,,,,0
leg_knee_tendon_anchor_bottom.stl,,,,,,0
leg_knee_tendon_anchor_bottom_mirrored.stl,,,,,,0
leg_knee_tendon_anchor_top.stl,,,,,,0
leg_lower.stl,,,,,,0
leg_middle.stl,,,,,,0
leg_middle_bottom_a.stl,,,,,,0
leg_middle_bottom_b.stl,,,,,,0
leg_middle_top_a.stl,,,,,,0
leg_middle_top_b.stl,,,,,,0
leg_servo_knee_spindle.stl,,,,,,1
leg_spring.stl,,,,,,0
leg_spring2.stl,,,,,,0
leg_spring2_female.stl,,,,,,0
leg_spring2_male.stl,,,,,,0
leg_upper.stl,,,,,,0
leg_upper_mirrored.stl,,,,,,0
motors_alturn_abrs_5314htg_hv.stl,,,,,,0
pelvis_cross_support.stl,,,,,,0
pelvis_motor_face.stl,,,,,,0
pelvis_motor_face_mirrored.stl,,,,,,0
pelvis_torso_strut.stl,,,,,,0
torso_side.stl,,,,,,0
